Price,Close,High,Low,Open,Volume
Ticker,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS,MARUTI.NS
Date,,,,,
2004-03-24,386.3868408203125,390.3343851314542,379.86481450481557,386.1723006532829,3774546
2004-03-25,410.4582214355469,421.2710506793658,388.66094653421976,389.218745709432,4704378
2004-03-26,419.9837341308594,423.93127758094755,410.45814755470616,410.45814755470616,4100480
2004-03-29,422.8585510253906,427.23517444731505,411.0588451368079,419.12554792466165,3597139
2004-03-30,410.54400634765625,423.93131631106525,408.48442624305073,420.4986740737287,4036926
2004-03-31,426.89202880859375,428.56542637442556,408.99937389295366,409.8146108027738,5163520
2004-04-01,443.75482177734375,445.9860707463669,426.07673450921527,426.5058148058006,4820658
2004-04-02,447.6595458984375,451.306728839156,441.9956539048915,444.52723842169047,5055782
2004-04-05,465.4661865234375,470.8725861568173,447.95969474321237,447.95969474321237,4707517
2004-04-06,462.6343994140625,470.65823316029434,456.15529678678587,470.65823316029434,4129358
2004-04-07,456.2840576171875,468.1266648782,451.86450903240956,464.26494170321945,3657128
2004-04-08,459.97406005859375,464.9942783823014,451.7357396355955,454.8250966997289,3870722
2004-04-09,459.97406005859375,459.97406005859375,459.97406005859375,459.97406005859375,0
2004-04-12,454.52471923828125,465.1229802163824,451.39241253471795,456.1551927237035,1424120
2004-04-13,458.9442443847656,461.00385062328206,446.71545674123513,454.8250842856952,2515205
2004-04-14,458.9442443847656,458.9442443847656,458.9442443847656,458.9442443847656,0
2004-04-15,470.3577575683594,476.27908607616644,455.9406713843487,458.85843808807186,4140375
2004-04-16,464.82269287109375,470.87271440332023,462.54854641342274,470.6152767083676,1937619
2004-04-19,471.90252685546875,475.420964304369,463.53546114794597,464.6939569870322,4295230
2004-04-20,463.9216003417969,471.7308932442818,459.97408252504465,471.13017034748043,2451980
2004-04-21,483.35894775390625,489.8380496716412,461.69039306098813,464.3077723601832,4450079
2004-04-22,505.1132507324219,508.88917789394895,477.18013685649953,483.4018004985419,6159916
2004-04-23,497.9475402832031,514.7245645556295,493.74253364070404,507.1727639937493,4810464
2004-04-26,497.9475402832031,497.9475402832031,497.9475402832031,497.9475402832031,0
2004-04-27,479.368408203125,497.6472677585284,477.6520872967365,497.6472677585284,3958687
2004-04-28,480.3983154296875,490.86788570528915,475.5926368005435,477.90968100236853,5838554
2004-04-29,491.7259826660156,497.73310636350624,476.27909315818266,476.27909315818266,4877658
2004-04-30,467.268310546875,494.04292394085365,459.2015823061801,488.2932391206095,5234069
2004-05-03,459.1587829589844,466.66768762687065,441.78103215616187,465.1230091422122,8437660
2004-05-04,467.13970947265625,477.52348433312534,462.54857113704685,463.40673175140125,5957951
2004-05-05,468.6413269042969,473.3612086351248,463.40656993583093,465.1228905652229,4223892
2004-05-06,473.1468505859375,479.45436275235414,469.971698102374,476.2791578908215,3818512
2004-05-07,451.30670166015625,472.84651277931505,448.21729192846476,471.98835213906216,5537222
2004-05-10,434.1864013671875,446.2435483024579,430.88247755061263,446.1577531866649,6827824
2004-05-11,409.9004211425781,429.29485668749624,400.88973449546427,429.29485668749624,4759118
2004-05-12,414.7061767578125,420.41294042935687,403.4642658489807,407.6263506672756,6309470
2004-05-13,408.65606689453125,432.34127726876096,379.5644031197381,403.2496396829496,10889675
2004-05-14,366.3916320800781,419.08268098566066,353.5621222650154,414.4915171213651,10756304
2004-05-17,343.7790832519531,381.5810407906493,257.4481363061588,361.628810226922,7346467
2004-05-18,383.6407165527344,391.2783674570646,348.4132315702972,351.84587424586664,8696991
2004-05-19,396.8563537597656,418.7823451674266,389.3474490052267,399.0446526697815,6242233
2004-05-20,404.7085266113281,411.8741725477441,378.92078598853556,394.8396801401754,7205538
2004-05-21,397.2854919433594,407.1114158839393,390.463104153436,404.536933878532,5981182
2004-05-24,406.8968811035156,413.3760099496222,399.17343498504715,400.031595664877,3852103
2004-05-25,389.8194580078125,405.90996948309373,384.79921318972805,405.0518088710787,7944035
2004-05-26,380.50836181640625,398.87299134396864,377.0757198041897,394.7538314049009,8089514
2004-05-27,373.4285583496094,382.4821678716784,368.27959504609464,380.98038690815326,8011955
2004-05-28,347.9411926269531,376.73246754087415,340.9900871907946,376.34628483203954,8357011
2004-05-31,331.764892578125,342.4060787604527,326.10102739090735,326.10102739090735,7313757
2004-06-01,345.2808837890625,353.5621274092749,336.39891734086353,337.25707784428414,8425494
2004-06-02,336.0128173828125,352.2320758426825,333.18089749974865,344.12244661274747,8058808
2004-06-03,323.8268737792969,350.12948818055474,316.7470495697636,343.39292293732393,9945925
2004-06-04,329.3620300292969,331.2499938376436,315.8031029332975,320.95206656807954,8173102
2004-06-07,330.6062927246094,338.8875353123623,326.1009506433525,333.1378763696683,7352579
2004-06-08,341.2475891113281,343.52170967517867,329.96278140887375,332.9663437884084,6780668
2004-06-09,358.6681823730469,360.2986820439845,341.118790116613,344.12235179059576,10963610
2004-06-10,353.2618103027344,356.05083228866107,347.5550474770195,356.05083228866107,6505462
2004-06-11,333.8673400878906,358.71109763664276,330.4776217446649,358.71109763664276,7420343
2004-06-14,335.1116943359375,338.8017742205101,324.8137677494298,329.87690974999975,9365614
2004-06-15,337.6861877441406,342.7493299210593,333.56702744166023,336.3989468759927,6941728
2004-06-16,328.16058349609375,341.0329915269733,326.35844113397434,338.9734114798288,7861983
2004-06-17,342.0628662109375,345.3238664520963,324.38475024547665,342.32030394982337,6757973
2004-06-18,337.257080078125,342.40604313275287,333.48117907586067,342.40604313275287,5598660
2004-06-21,325.8006591796875,340.6468529371241,324.42759701296177,336.52766643694696,6010436
2004-06-22,323.0974426269531,332.10812827790403,317.99137694915515,317.99137694915515,6713892
2004-06-23,313.0140686035156,329.4907620597459,310.69702458377054,326.10101732511566,8589832
2004-06-24,327.5599365234375,329.9627759114378,309.15237977137963,311.8126830724418,10250790
2004-06-25,330.77801513671875,336.31313531660743,322.23930665521493,329.53367178589224,7249220
2004-06-28,336.5276184082031,338.50140317523267,324.6420908256488,331.5931957740976,6695724
2004-06-29,339.7457580566406,343.2642215654832,331.8077729329388,334.8113348716368,8516368
2004-06-30,346.0103759765625,350.4298979766873,339.44542621564705,339.8316089741659,9768597
2004-07-01,347.6408996582031,350.9877211008295,339.9174534726103,347.76961852349916,8065259
2004-07-02,347.55499267578125,350.64437562625073,340.6897088698399,344.1223507728106,8230507
2004-07-05,344.2082214355469,354.3774297696869,342.10571749277716,349.78626532805595,7126609
2004-07-06,351.20220947265625,352.6610929014647,341.5908007170543,341.5908007170543,6065888
2004-07-07,361.0281677246094,362.48702500224266,348.6277368253218,350.1295178454924,8585289
2004-07-08,346.99005126953125,366.02326637771034,340.18632992751907,362.57834151768486,8142333
2004-07-09,368.7361755371094,371.8796645230016,327.2678937325383,327.2678937325383,6653176
2004-07-12,371.0184020996094,373.6020957807562,310.0432417376205,310.0432417376205,3793094
2004-07-13,360.8128356933594,370.32943030796423,356.76503838389345,369.4681990746899,4836610
2004-07-14,360.0807189941406,366.4107726744316,357.410897395612,360.85582170785887,6770273
2004-07-15,360.72674560546875,364.17167090425284,356.6358968131626,360.6836682696174,6448869
2004-07-16,366.02325439453125,369.03756354836855,360.8989183199318,366.02325439453125,4729586
2004-07-19,366.84149169921875,373.60213654302754,363.913284181614,366.3677987030443,5185823
2004-07-20,361.71710205078125,366.88448922293526,359.26258788747003,363.4395644414992,4041250
2004-07-21,367.65960693359375,374.63558515508885,361.76016774990063,362.8367067877026,3571330
2004-07-22,363.35345458984375,376.2719231788358,360.0807863937091,372.05189536297,4968481
2004-07-23,366.410888671875,368.7792748863225,359.994704596021,363.5257583904636,4345638
2004-07-26,371.5782165527344,378.94173289477243,364.3008023056562,366.02326472790514,5507143
2004-07-27,369.7265625,377.3915415970045,367.8749205821193,374.5494627224671,5099672
2004-07-28,361.3725891113281,372.05184991722945,359.3917417333594,369.46815651502646,4429232
2004-07-29,359.4779357910156,363.87022063390435,356.9803703023748,363.43960498818376,4319920
